Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"AS08",94,106,200,86,102,188
"AS09",94,106,200,86,102,188
"AS10",94,106,200,86,102,188
"AS11",94,112,206,86,108,194
"PDB",7,109,116,3,70,73
"DD01",186,5,191,125,5,130
"DD02",106,5,111,86,5,91
"DD03",106,5,111,86,5,91
"DD04",106,5,111,86,5,91
"DD05",106,5,111,86,5,91
"DD06",110,5,115,90,5,95
"VA01",220,183,403,145,123,268
"VA02",220,183,403,145,123,268
"VA03",220,183,403,145,123,268
"VA04",220,183,403,145,123,268
"VA05",114,108,222,89,102,191
"VA06",114,108,222,89,102,191
"VA07",114,108,222,89,102,191
"VA08",114,108,222,89,102,191
"VA09",114,108,222,89,102,191
"VA10",114,108,222,89,102,191
"VA11",114,108,222,89,102,191
"VA12",98,112,210,87,107,194
"VB01",145,195,340,114,133,247
"VB02",210,208,418,141,143,284
"VB03",114,120,234,89,106,195
"VB04",114,120,234,89,106,195
"VB05",114,120,234,89,106,195
"VB06",114,120,234,89,106,195
"VB07",114,120,234,89,106,195
"VB08",114,120,234,89,106,195
"VB09",114,120,234,89,106,195
"VB10",114,120,234,89,106,195
"VB11",114,120,234,89,106,195
"VD01",186,5,191,125,5,130
"VD02",186,5,191,125,5,130
"VD03",106,5,111,86,5,91
"VD04",106,5,111,86,5,91
"VD05",106,5,111,86,5,91
"VD06",106,5,111,86,5,91
"VD07",106,5,111,86,5,91
"VD08",106,5,111,86,5,91
"VD09",106,5,111,86,5,91
"VD10",106,5,111,86,5,91
"VD11",106,5,111,86,5,91
"VD12",110,5,115,90,5,95
"VD13",110,5,115,90,5,95
"HSNL",187,198,385,175,180,355
"HSNR",187,198,385,175,180,355
"VC01",178,2,180,119,2,121
"VC02",178,2,180,119,2,121
"VC03",92,2,94,74,2,76
"VC04",70,77,147,65,65,130
"VC05",70,77,147,65,65,130
"VC06",92,2,94,74,2,76
