Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",168,215,383,11,18,29
"I1R",168,215,383,11,18,29
"I2L",143,36,179,5,6,11
"I2R",143,36,179,5,6,11
"I3",183,199,382,14,17,31
"I4",193,198,391,19,17,36
"I5",181,204,385,14,19,33
"I6",175,55,230,15,7,22
"M1",174,215,389,15,21,36
"M2L",192,28,220,17,10,27
"M2R",192,28,220,17,10,27
"M3L",166,144,310,10,19,29
"M3R",166,144,310,10,19,29
"M4",198,8,206,18,0,18
"M5",163,196,359,17,17,34
"MCL",178,48,226,12,14,26
"MCR",178,48,226,12,14,26
"MI",162,44,206,15,9,24
"NSML",190,143,333,16,4,20
"NSMR",190,143,333,16,4,20
"ADFL",123,222,345,109,201,310
"ADFR",123,222,345,109,201,310
"ADLL",178,191,369,144,157,301
"ADLR",178,191,369,144,157,301
"ASEL",169,125,294,159,112,271
"ASER",166,174,340,156,158,314
"ASGL",187,216,403,177,195,372
"ASGR",187,216,403,177,195,372
"ASHL",191,138,329,178,128,306
"ASHR",191,138,329,178,128,306
"ASIL",180,92,272,170,88,258
"ASIR",180,92,272,170,88,258
"ASJL",116,181,297,108,166,274
"ASJR",116,181,297,108,166,274
"ASKL",172,214,386,161,193,354
"ASKR",172,214,386,161,193,354
"AWAL",189,193,382,179,175,354
"AWAR",189,193,382,179,175,354
"AWBL",189,141,330,176,129,305
"AWBR",189,141,330,176,129,305
"AWCL",166,133,299,156,124,280
"AWCR",166,133,299,156,124,280
"AFDL",173,72,245,163,70,233
"AFDR",173,72,245,163,70,233
"IL2DL",167,205,372,135,165,300
"IL2DR",167,205,372,135,165,300
"IL2L",186,155,341,153,124,277
"IL2R",186,155,341,153,124,277
"IL2VL",167,205,372,135,165,300
"IL2VR",167,205,372,135,165,300
"OLQDL",199,196,395,163,158,321
"OLQDR",199,196,395,163,158,321
"OLQVL",199,196,395,163,158,321
"OLQVR",199,196,395,163,158,321
"OLLL",171,154,325,141,125,266
"OLLR",171,154,325,141,125,266
"CEPDL",175,197,372,146,159,305
"CEPDR",175,197,372,146,159,305
"CEPVL",175,197,372,146,159,305
"CEPVR",175,197,372,146,159,305
"ALML",155,206,361,130,163,293
"ALMR",155,206,361,130,163,293
"AVM",251,274,525,235,250,485
"PVM",124,147,271,95,118,213
"PLML",125,153,278,94,118,212
